英吉利语,现代白话,先秦文言,先秦文言略言（同全言则用“-”）
Inscryption,《邪恶冥刻》,《冥锲》,《锲》
inscryption,冥刻,冥锲,锲
scrybe,冥刻者,司锲,-
mod,模组,补缀,补
achievement,成就,功,-
achievements,成就,功成录,-
ability / abilities,能力,印技,技
appendix,附录,附编,-
sacrifice (verb),献祭,牲祀,祀
sacrifice (offering),祭品,牺牲,牲
sigil,印记,印契,印
pelt,毛皮,裘革,革
boon,奖励,惠,-
stats,属性,数,-
cost,成本/费用,直,-
card,卡牌,牌,-
pack,卡包/包,牌韬,韬
extension,扩展,拓,-
lane,路线/列位,列,-
mox,玛珂,玛珂,-
gem,宝石,玉,-
misplay,昏招,昏著,-
beast,野兽,兽,-
robot,机器人,机人,-
blood,血量,衅血,血
health,生命,命,-
foil,箔片/闪卡,箔,-
bone (a kind of cost),骨头/兽骨,骴骨,骨
energy,能量,能,-
power,力量,威,-
P03,鉟零三,鉟零三,-
tribe,族群,属,-
item,道具,器,-
scales,天平,衡,-
slot effect / slot effects,卡槽效果/卡位效果,位效,-
play,打出,陈牌,陈
woodcarver,木雕师,刻木妪,妪
draw,抽牌,引牌,引
turn,回合,合,-
creature,造物,物,-
battle,战斗,战,-
item,道具,器,-
eye,眼,目,-
pass,跳过,过,-
totem,图腾,神偶,偶
offering,祭品,神献,献
trapper,猎人,猎夫,-
trader,毛皮商,贾妇,贾
prospector,矿工,采夫,采
overkill,过量伤害,溢伤,-
Squirrel,松鼠,松鼠,-
boss,头目,魁,-
boss battle,头目战,魁战,-
rare card,稀有卡牌,罕有牌,-
map,地图,图,-
Wetlands,湿地,湿泽,泽
Snow Line,雪线,雪垠,垠
subsection,小节/分节,节,-
robot,机器人,机人,-
bot,机器人,机人,-
file,文件,牍,-
generator,生成器,机枢,枢
conduit,管道,渠,-
mist,雾/寒雾,雾,-
hound,猎犬/狗,犬,-
soul / souls,灵魂,魂,-
angler,钓鱼人,渔父,渔
hare,野兔,兔,-
wolf,狼,狼,-
Golden Pelt,金羊皮,金革,金
coffin,棺木/棺材,棺,-
funeral,殡仪/葬礼,殡,-
trial,试炼,试,-
candle,蜡烛,烛,-
boon,奖励,惠,-
challenger,挑战者,角者,-
Deathcard,死亡卡,死牌,-
portrait,肖像/卡面,像,-
rulebook,规则书,律书,律
safe,保险箱,匮,-
board,牌局/牌桌,局,-
choice/option,选择/选项,择,-
replace,换/替,易,-
liquidate / sell off,变卖,鬻,-
outpost / trading post,前哨站/小型贸易站,肆,-
pickaxe,镐头,镐,-
blessing,祝福,祐,-
flesh,肉,肌,-
gift,礼物,赠,-
hook,鱼钩/钩子,钩,-
deck,牌组/牌列,牌列,-
mule,骡子,骡,-
spoils,战利品,获,-
topdeck,顶牌/牌库顶抽牌,上引,-
ritual,仪式,仪,-
misplay,昏招,昏著,-
tooth,牙齿,齿,-
cheat,作弊,诈,-
film roll,胶卷/影卷,影卷,-
worthy,值得/够格,堪,-
predecessor,前一任/前人,前人,-
impale,刺穿/贯穿,贯,-
trade/deal,交易/买卖,贾,-
Mycologists,菌学家,蕈家,-
spore cloud,孢子云/孢子雾,蕈霭,-
duplicate / 2 of the same,两个相同/同样的,同物 / 2同,-
pirate,海盗,海上之盗,-
tomb/tombstone,坟冢/墓碑,冢,-
grave,坟墓,墓,-
ghoul,食尸鬼/尸鬼,冢鬼,-
trade (verb),交易/交换,易,-
surrender/concede,投降/认输,降,-
scoop,收牌/认输收牌,敛牌,-
duplicate cards,重复卡牌,复牌,-
pair(s),一对/成双,耦,-
mercy,怜悯/宽恕,恕,-
organs,内脏/脏器,腑,-
rightful place,应有之位,所宜之位,-
report ... to,告诉给/报告给,告诸……,-
disappointing,令人失望/可惜,可惋,-
empty-handed,空手/徒手,徒手,-
charity,施舍/慈善,施惠,-
honor,荣誉,荣,-
centerpiece,中心/核心,枢,-
rematch,再战/复赛,复角,-
mantra,咒语/祝辞,祝辞,-
meal/dinner,饭食/晚餐,飧,-
fresh air,新鲜空气,清气,-
musk,膻味,膻,-
Trapper and Trader,猎人和商人,猎夫兼贾妇,-
wardrobe,衣柜,衣匮,-
drawer,抽屉,椟,-
slider,滑块/滑钮,楗,-
canvas,画布,画缣,-
brush,画笔,画笔,笔
artist,画家,画者,-
premonition,预感/先兆,先兆,-
title,称号/头衔,号,-
pupil,学生/弟子,弟子,-
minion,喽啰/手下,徒众,-
corpse,尸体,尸,-
quill,羽毛笔,羽笔,笔
beacon,灯塔/炬火,炬,-
travails,艰辛/艰难,艰屯,-
hegemon,霸主/盟主,伯,-
inadequacy,不足/不逮,不逮,-
camera,相机/照相机,影器,-
photo,照片/影像,影,-
replica,复制品/摹本,摹器,-
code,代码/密码/编号,数,-
cabin,小屋/木屋,庐,-
bleach,漂白/褪色,素,-
color/paint,颜色/涂绘,丹,-
acquiesce,应允/只得顺从,唯,-
spare,饶恕/放过,舍,-
scan,扫描/探查,省,-
scanner,扫描器,省器,-
stats/stat line,数值/属性,数,-
monument,纪念碑/碑,碑,-
fresh,新鲜,鲜,-
corrupted,腐坏/腐烂,败,-
trap,陷阱,阱,-
prey/victim,猎物/牺牲者,禽,-
duel,决斗/对战,角,-
amalgam,混合兽/融合兽,合兽,-
inspector,检查员/检察者,察者,-
line (production line),生产线/流水线,输途,-
engineer,工程师,工师,-
melter,熔炉工/冶工,冶者,-
raw materials,原材料,朴材,-
synergy,配合/协同,相资,-
resource economy,资源运用/资源循环,资用,-
conveyor belt,传送带/输送带,输带,-
factory,工厂,工肆,-
commemorate/memorialize,纪念/志记,志,-
waypoint,路标/检查点,楬,-
offline,离线/停用,废,-
bot spawner,机人生成功能/刷怪器,机人生枢,-
CYBER pelt,机革/赛博皮,机革,-
hard disk,硬盘,坚盘,-
Archivist,档案管理员/典藏者,典牍者,-
directory,目录,牍目,-
damage,伤害,伤,-
backup,备份,副,-
contract,契约,契,-
agreement/commitment,约定/承诺,诺,-
ACCESS,访问/存取权限,启牍,-
traveller,旅人/行旅者,行客,-
sign (a contract),签署/签名,书名,-
memory (recollection),记忆/回想,识,-
Photographer,摄影师/照相者,取影者,-
game rule,游戏规则/局面规则,局则,-
paint (verb),绘画/涂绘,画,-
mechanic,机制/法门,法,-
Great Transcendence,大超越/大飞升,大陟,-
Uberbot,终极机人/超级机人,魁机人,-
Inspection Room,检查室/检视室,察室,-
inspectometer,检查仪/检视仪,察器,-
battery,电池/电源包,电匣,-
Magnificus,蔓尼菲科,蔓尼菲科,-
Dredger,浚泥机/疏浚者,浚夫,-
Slime Mage,史莱姆法师/黏液法师,涎巫,-
Smelter Room,熔炉房/冶炼室,冶室,-
Smelter,熔炉员,冶者,-
Smelting Machine,熔炼机/冶炼机,冶机,-
graduate student,研究生/高材生,高弟,-
well,井,井,-
Botopia,机托邦,机托邦,-
survivor,幸存者,余生者,-
warm / warmth,温暖/暖意,燠,-
Caged Wolf,笼中狼,槛中狼,-
rogue bot / rogue bots,叛变机器人,叛机人,-
reactivate,重新启动/再次激活,复起,-
respawn,重新出现/复活刷新,复出,-
dead end,死路/尽头,穷途,-
OP,强势/超模/过强,至强,-
ability / abilities,能力,印技,技
The Master,大师,大师,-
robobucks,机器人币/机币,机币,-
Side Deck,副卡组/副牌组,副牌列,-
Empty Vessel,空容器/空器,虚皿,-
vessel,容器,皿,-
Dredging Room,疏浚室/浚泥室,浚室,-
bounty,赏金/悬赏,购,-
Bounty Hunter,赏金猎人,购捕者,-
bed and breakfast,民宿/住宿加早餐旅店,逆旅,-
tip the scales,压倒天平/倾斜天平,倾衡,-
send,发送/传送,致,-
receive,接收/收到,受,-
remote,遥控器/遥控,遥器,-
memory unit,存储单元/记忆单元,识匣,-
Angler,渔夫,渔父,-
stoat,白鼬,白鼬,-
random / randomly,随机/随机地,偶 / 偶得,-
component / components,零件/部件,材,-
G0lly,乖乖,乖乖,-
diagram / graphics,图示/图形,图,-
duplicate / duplicates,复制体/重复体,同物,-
web / The Web,网络/网,网,-
connect / connection,连接/联通,通,-
signal,信号,信,-
mole,鼹鼠,鼹,-
mummy,木乃伊,木乃伊,-
pure,纯粹/纯洁,粹,-
root for,支持/偏向/为……喝彩,左袒,-
paradoxical,矛盾/悖谬/反常,悖,-
upload,上传/上载,上输,-
Starvation,饥饿,饥,-
gamer,玩家,戏徒,-
OLD_DATA,旧_数据,旧_档,-
freedom,自由/解脱,释,-
prize,奖励/奖品,赏,-
recharge,充能/充电,复充,-
disk,磁盘/硬盘,坚盘,-
delete / deleted,删除/被删除,削,-
clap,鼓掌/鼓掌喝彩,抃,-
hero,英雄/豪杰,雄,-
player / players,玩家,戏徒,-
OLD_FISH,旧_鱼,旧_鱼,-
puppet,傀儡,傀,-
Goo,黏液,黏胶,-
celebrate,庆祝/庆贺,贺,-
starter deck,初始牌组,初牌列,-
Max Energy,能量上限,能极,-
Magickal card(s),魔法卡牌,术牌,-
battle of wits,斗智,智角,-
host,宿主,主,-
compatible,相容/相宜,相宜,-
bowl,碗/食盆,盂,-
Bone Lord,骨王,骨王,-
Waterborne,水袭,潜袭,-
Airborne,空袭,翔袭,-
Pelt card,毛皮卡牌,裘革牌,-
Ring Worm,环形虫,环虫,-
Inhabited,载灵,载灵,-
ability / abilities,能力,印技,技
SP,状态点数/属性值,数点,-
RoboBucks / robobucks,机器币,机币,-
Activate,点击激活,启,-
Elder,长老,耆,-
tail,尾巴,尾,-
collection,牌库/收藏,牌藏,-
save data,存档/存档数据,存录,-
bait,鱼饵,饵,-
epitaph,墓志铭,墓志,-
Canine,犬类,犬属,-
common,普通,常,-
rule,规则,律,-
L33pB0t,跳跃机器人,跃机人,-
Deathly,死亡,死属,-
Beastly,野兽,兽属,-
Techno,科技,机属,-
Magical,魔法,术属,-
Nano Armor,纳米铠甲,微铠,-
memento,纪念/纪念品,志物,-
figurine,小雕像,偶,-
Stoat,白鼬,白鼬,-
Coyote,郊狼,郊狼,-
hammer,锤子,锤,-
weight(s),砝码/秤砣,权,-
Opossum,负鼠,负鼠,-
candlestick,烛台,烛檠,-
Skeleton,骷髅,枯骨,-
Blue gem,蓝宝石,蓝玉,-
completed circuit,完整回路,成回路,-
Explode Bot(s),自爆机器人,爆机人,-
Energy Gun,能量枪,能铳,-
Disentomb,开坟掘墓,启墓,-
Marrow Sucker,敲骨吸髓,吮髓,-
Power Dice,力量骰子,威骰,-
True Scholar,真学究,真儒,-
Enlarge,巨大化,益大,-
Stimulate,刺激,激哉,-
Bomb Spewer,炸弹散人,吐弹者,-
Bone Digger,掘骨人,掘骨者,-
Brittle,脆骨,脆骨,-
Gem Animator,宝石模拟器,玉振者,-
Attack Conduit,攻击管道,攻渠,-
Energy Conduit,能量管道,能渠,-
Spawn Conduit,重生管道,生渠,-
Healing Conduit,治疗管道,疗渠,-
Null Conduit,空无管道,虚渠,-
Handy,魔手,鬼手,-
Ruby Heart,红宝石之心,红玉心,-
Ruby Mox,红宝石玛珂,红玉玛珂,-
Detonator,引爆器,引爆,-
Battery Bearer,电池架,负电者,-
Energy Cell,能量槽,气格,-
Blue Mox,蓝色玛珂,蓝玛珂,-
Green Mox,绿色玛珂,绿玛珂,-
Orange Mox,橙色玛珂,橙玛珂,-
Great Mox,至尊玛珂,至尊玛珂,-
Green Gem,绿宝石,绿玉,-
Orange Gem,橙宝石,橙玉,-
Gem Dependant,宝石依赖,赖玉,-
Mental Gemnastics,头脑风宝,玉智,-
Looter,劫掠者,掠者,-
Repulsive,厌恶情绪,可憎,-
Skeleton Crew,骷髅小队,骨伍,-
Squirrel Shedder,松鼠掉落,遗以松鼠,-
Omni Strike,全向打击,周击,-
Bee,蜜蜂,蜂,-
Bees Within,内心之蜂,中有蜂,-
Leader,领袖力量,率众,-
Corpse Eater,食尸鬼,食尸,-
Bellist,鸣钟人,鸣铃者,-
Chime,铃铛,铃,-
Dam Builder,筑坝师,筑堤者,-
Dam,堤坝,堤,-
Touch of Death,死神之触,死触,-
Stinky,臭臭,恶臭,-
Ant,蚂蚁,蚁,-
Ant Spawner,蚁后,生蚁者,-
Fecundity,丰产之巢,蕃息,-
Unkillable,不死之虫,不死,-
Cockroach,蟑螂,蜚蠊,-
Rabbit,兔子,兔,-
Rabbit Hole,兔子洞,兔穴,-
Fledgling,幼雏,稚雏,-
Guardian,守护者,守者,-
Frozen Away,冰封禁锢,冰藏,-
Bone King,骨皇,骨君,-
Amorphous,无形之物,无形,-
Trinket Bearer,道具商,负器者,-
Mighty Leap,高跳,高跃,-
Many Lives,生生不息,多命,-
Sharp Quills,尖刺铠甲,利棘,-
Bifurcated Strike,兵分两路,歧击,-
Tidal Lock,潮汐锁定,潮锁,-
Steel Trap,铁兽夹,铁阱,-
Sprinter,冲刺能手,疾趋,-
Hefty,蛮力冲撞,巨力,-
Loose Tail,断尾求生,脱尾,-
Worthy Sacrifice,优质祭品,堪祀,-
Trifurcated Strike,兵分三路,三歧击,-
Hoarder,囤积狂,聚藏,-
Burrower,钻地龙,潜龙,-
Annoying,惹人生厌,可厌,-
Buff When Powered,充能增益,通则益威,-
Gift When Powered,充能奖励,通则赠牌,-
Trifurcated When Powered,充能三击,通则三歧击,-
Gem Spawn Conduit,产石管道,玉生渠,-
Gem Vessel,宝石容器,玉皿,-
Armored,身披坚甲,坚甲,-
Hostage File,文件挟持,质牍,-
Gift Bearer,礼品商,负牌者,-
Vessel Printer,容器打印机,印皿者,-
Gem Detonator,宝石引爆器,玉引爆,-
byte,字节,节,-
Dead Byte,死亡字节,死字节,-
Latch,传花,遗契,-
Brittle Latch,脆骨传花,脆骨遗契,-
Shield Latch,坚盾传花,坚盾遗契,-
Bomb Latch,炸弹传花,爆弹遗契,-
Overclocked,超频运转,过频,-
Sentry,哨兵,戍者,-
Gem Guardian,宝石守护者,玉守者,-
Sniper,狙击手,狙者,-
Swapper,交换器,易数,-
Transformer,易形者,化形,-
Boon of the Ambidextrous,左右开弓之奖,两手之惠,-
Minor Boon of the Bone Lord,骨王之惠,骨王小惠,-
Boon of the Rabid Squirrel,狂犬松鼠之奖,狂松鼠之惠,-
Boon of the Bone Lord,骨王之奖,骨王之惠,-
Boon of Goat's Blood,黑羊血之奖,羊血之惠,-
Black Goat,黑山羊,黑山羊,-
Boon of the Forest,森林之奖,林之惠,-
Grand Firs,大冷杉,大杉,-
Magpie,喜鹊,鹊,-
Boon of the Magpie's Eye,喜鹊眼之奖,鹊目之惠,-
Adder,蝰蛇,蝮,-
Alpha,头狼,魁狼,-
Amoeba,阿米巴原虫,阿米巴,-
Bat,蝙蝠,蝠,-
Beehive,蜂巢,蜂房,-
Bloodhound,寻血猎犬,寻血犬,-
Burrowing Trap,土遁陷阱,潜土阱,-
The Daus,达欧斯猪妖,达欧斯,-
Elk,麋鹿,麋,-
Elk Fawn,小麋鹿,麋犊,-
Field Mice,田鼠,田鼠,-
Spore Mice,斑点鼠,蕈鼠,-
Geck,壁虎,守宫,-
Grizzly,灰熊,罴,-
Hrokkall,电鳗,赫罗卡尔,-
Child 13,13号孩子,十三子,-
Kingfisher,翠鸟,翡翠,-
Lammergeier,胡鹫,胡鹫,-
Corpse Maggots,尸蛆,尸蛆,-
Mantis,螳螂,螳螂,-
Mantis God,螳螂神,螳神,-
Mole Man,鼹鼠人,鼹人,-
Moose Buck,雄驼鹿,牡驼鹿,-
Strange Larva,奇怪的幼虫,异幼虫,-
Strange Pupa,奇怪的蛹,异蛹,-
Mothman,飞蛾人,蛾人,-
Pack Mule,骡子,驮骡,-
River Otter,水獭,河獭,-
Pack Rat,林鼠,囊鼠,-
Porcupine,豪猪,豪猪,-
Pronghorn,叉角羚,叉角羚,-
Rat King,鼠王,鼠王,-
Rattler,响尾蛇,响尾蛇,-
Raven,渡鸦,渡鸦,-
Raven Egg,渡鸦蛋,渡鸦卵,-
Salmon,鲑鱼,鲑,-
Great White,大白鲨,大白鲨,-
Wriggling Tail,扭动的尾巴,蠕尾,-
Skunk,臭鼬,臭鼬,-
River Snapper,鳄龟,鳄龟,-
Long Elk,长身麋鹿,长麋,-
Sparrow,麻雀,雀,-
Bell Tentacle,铃铛触手,铃触,-
Mirror Tentacle,镜子触手,镜触,-
Urayuli,长毛野人,乌拉尤利,-
Turkey Vulture,红头美洲鹫,秃鹫,-
Warren,兔窝,兔窟,-
Wolf Cub,狼崽,狼崽,-
The Moon,月亮,月,-
Bait Bucket,一桶鱼饵,饵桶,-
The Stones,石头,石,-
Gold Nugget,金块,金块,-
Smoke,烛烟,烛烟,-
Greater Smoke,大团烛烟,大烛烟,-
Stinkbug,臭虫,臭虫,-
Leaping Trap,跳跃陷阱,跃阱,-
Strange Frog,奇怪的青蛙,异蛙,-
Stunted Wolf,弱狼,残狼,-
Bad Fish,烂鱼,恶鱼,-
Good Fish,好鱼,良鱼,-
More Fish,更多的鱼,多鱼,-
Fishbot,机器鱼,鱼机人,-
Mummy Lord,木乃伊之王,木乃伊王,-
Hydra,九头蛇,九首蛇,-
Alarm Bot,闹铃机器人,警铃机人,-
Amoebot,阿米巴机器人,阿米巴机人,-
Buff Conduit,增益管道,益渠,-
Automaton,自动机器人,自动机,-
Energy Bot,能量机器人,能机人,-
Bolthound,螺栓铁狗,寻栓犬,-
Mrs. Bomb,炸弹夫人,弹夫人,-
Busted 3D Printer,报废的3D打印机,既废三维印机,-
Captive File,文件挟持犯,囚牍,-
Tough Cell,强壮电池,壮电匣,-
Kind Cell,和善电池,和电匣,-
Splinter Cell,分化电池,歧电匣,-
Double Gunner,双枪手,双铳手,-
Sapphire Vessel,蓝宝石容器,蓝玉皿,-
Emerald Vessel,绿宝石容器,绿玉皿,-
Ruby Vessel,红宝石容器,红玉皿,-
Gamblobot,赌博机器人,博机人,-
Factory Conduit,工厂管道,肆渠,-
Gembound Ripper,宝石收割者,缚玉割者,-
Gems Conduit,宝石管道,玉渠,-
Gift Bot,礼物机器人,赠机人,-
Insectodrone,机械虫,虫飞械,-
Librarian,图书管理员,守牍者,-
49er,黄金矿工,采金机人,-
Steel Mice,钢老鼠,钢鼠,-
Sentry Drone,哨兵无人机,戍飞械,-
Sentry Spore,哨兵孢子,戍蕈,-
Shutterbug,快门虫,闸虫,-
Thick Droid,胖墩机器人,厚机人,-
Annoy FM,恼人广播站,可厌播台,-
Boulder,磐石,磐,-
Bridge Rails,桥栏杆,桥栏,-
Broken Bot,损毁机器人,既毁机人,-
Conduit Tower,管道塔,渠塔,-
Dead Tree,枯树,枯木,-
Frozen Opossum,冰封负鼠,冰封负鼠,-
Stump,树桩,株,-
Ancient Fir,古冷杉,古杉,-
Snowy Fir,雪压冷杉,雪杉,-
Banshee,女妖,女妖,-
Bonehound,寻骨猎犬,寻骨犬,-
Bone Heap,骨堆,积骨,-
Broken Obol,破碎银币,碎半银币,-
Dead Hand,死人手,死手,-
Heal Conduit,治疗管道,疗渠,-
Bomb Latcher,炸弹传递者,爆弹遗契者,-
Skel-e-latcher,骷髅传递者,枯骨遗契者,-
Shield Latcher,坚盾传递者,坚盾遗契者,-
Urayuli,长毛野人,乌拉尤利,-
ADD3R,机械蝰蛇,机蝮,-
3LK,机械麋鹿,机麋,-
RAV3N,机械渡鸦,机渡鸦,-
W07F,机械狼,机狼,-
M3atB0t,肉肉机器人,肉机人,-
Plasma Jimmy,等离子炮吉米,等离吉米,-
ExeSkeleton,机械外骨骼,骸机,-
Shieldbot,坚盾机器人,盾机人,-
Sniper Bot,狙击机器人,狙机人,-
Steambot,蒸汽机器人,蒸机人,-
Swapbot,对换机器人,易机人,-
Mox Module,玛珂模块,玛珂枢,-
Pharaoh's Pets,法老之宠,法老之宠,-
Draugr,尸鬼,尸鬼,-
Drowned Soul,淹死鬼/溺亡之魂,溺魂,-
The Walkers,行师走人,行尸,-
Frank & Stein,弗兰肯和斯坦,弗兰克与斯坦,-
Ghost Ship,幽灵船,鬼舟,-
Gravedigger,掘墓人,掘冢者,-
Sporedigger,掘孢人,掘蕈者,-
Headless Horseman,无头骑士,无首骑者,-
Necromancer,死灵法师,死灵巫,-
Revenant,复生亡灵,逆生魂,-
Sarcophagus,石棺,石椁,-
Skeleton,骷髅,枯骨,-
Skelemagus,骷髅法师,枯骨巫,-
Tomb Robber,盗墓贼,盗冢者,-
Zombie,丧尸,僵尸,-
Blue Mage,蓝色法师,蓝巫,-
Blue Sporemage,蓝色孢子法师,蓝蕈巫,-
Hover Mage,悬浮法师,悬巫,-
Force Mage,强力法师,力巫,-
Gem Fiend,宝石魔鬼,玉魅,-
Green Mage,绿色法师,绿巫,-
Mage Knight,法师骑士,巫骑,-
Gourmage,暴食法师,饕巫,-
Master Bleene,蓝绿橙大师,蓝绿大师,-
Master Goranj,绿橙蓝大师,绿橙大师,-
Master Orlu,橙蓝绿大师,橙蓝大师,-
Bleene's Mox,蓝绿橙的玛珂,蓝绿之玛珂,-
Goranj's Mox,绿橙蓝的玛珂,绿橙之玛珂,-
Orlu's Mox,橙蓝绿的玛珂,橙蓝之玛珂,-
Emerald Mox,绿宝石玛珂,绿玉玛珂,-
Sapphire Mox,蓝宝石玛珂,蓝玉玛珂,-
Magnus Mox,至尊玛珂,至尊玛珂,-
Muscle Mage,肌肉法师,肌巫,-
Orange Mage,橙色法师,橙巫,-
Practice Wizard,陪练巫师,习祝,-
Practice Mage,陪练法师,习巫,-
Mage Pupil,法师学徒,巫徒,-
Ruby Golem,红宝石魔像,红玉偶,-
Stim Mage,强化法师,激巫,-
scene,场景,景,-
subroutine,子程序,子程,-
file,文件,牍,-
corrupted (data/file),损坏/腐坏,败,-
chunk,数据块/块,块,-
unexpected data,意外数据,异档,-
asset,资产/资源,资材,-
save file,存档,存录,-
collection,牌库/收藏,牌藏,-
key,钥匙/密钥,钥,-
routine,程序,程,-
data wipe,抹除数据,除档,-
Extra Battery,额外的电池,副电匣,-
Harpie,女妖,女妖,-
Harpie's Birdleg Fan,女妖的鸟腿骨扇,女妖鸟胫扇,-
Mrs. Bomb's Remote,炸弹夫人的遥控器,弹夫人之遥器,-
Frozen Opossum Bottle,冰封负鼠瓶,冰封负鼠瓶,-
Black Goat Bottle,黑山羊瓶,黑山羊瓶,-
Failure,失败,败,-
Hourglass,沙漏,漏,-
Hoggy Bank,野猪存钱瓶,豕匮,-
Pliers,老虎钳,钳,-
Scissors,剪刀,剪,-
Nano Armor Generator,纳米铠甲生成器,微铠机枢,-
Special Dagger,特制匕首,特匕,-
Squirrel In A Bottle,瓶中松鼠,瓶中松鼠,-
Boulder In A Bottle,瓶中磐石,瓶中磐,-
defibrillator,除颤仪,电苏器,-
cure,药物/疗法,疗,-
scurvy,坏血病,坏血,-
Foul Backwater,恶臭死水,秽潴,-
Heritage Cabin,遗产木屋,遗庐,-
Resplendent Bastion,辉光堡垒,辉垒,-
Telegrapher Tower,通信塔,报讯塔,-
Filthy Corpse World,污秽尸界,秽尸界,-
Dank Crypt,潮湿墓穴,阴湿冢,-
Gaudy Gem Land,花哨宝石城,炫玉境,-
Rickety Tower,脆弱之塔,危塔,-
Bell Ringer,摇铃人,鸣铃者,-
One Half Bones,半根骨头,半骨,-
Emerald Power,绿宝石力量,绿玉威,-
